county,sub_county,constituency,ward,community_unit_name,community_unit_code,chu_status,linked_facility_name,date_established_excel,source
GARISSA,Dadaab,Daadab,Damajale,Damajaley Community Health Unit,700924,Fully-functional,Damajaley Dispensary,42039,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Masalani,Masalani Township Community Health Unit,700923,Fully-functional,Ijara Sub County Hospital - Masalani,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Masalani,Gumarey Community Health Unit,700922,Fully-functional,Ijara Sub County Hospital - Masalani,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Masalani,Gababa Community Health Unit,700921,Fully-functional,Gababa Dispensary,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Ijara,Ruqa Community Health Unit,700920,Fully-functional,Ruqa Dispensary,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Ijara,Bila Golol Community Health Unit,700919,Fully-functional,Ijara Health Centre,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Ijara,Bula Gerrile Community Health Unit,700918,Fully-functional,Ijara Health Centre,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Ijara,Ijara,Masalani,Hara Community Health Unit,700917,Fully-functional,Hara Health Centre,42401,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Sankuri,Shimbrey Community Health Unit,700916,Fully-functional,Shimbrey Dispensary,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Danyere,Mudey Community Health Unit,700915,semi-functional,Mudey Dispensary,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Sankuri,Sankuri Community Health Unit,700914,Fully-functional,Sankuri Health Centre,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Sankuri,Balich Community Health Unit,700913,Fully-functional,Balich Dispensary,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Sankuri,Raya Community Health Unit,700912,Fully-functional,Raya Dispensary,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Danyere,Libahlow Community Health Unit,700911,Fully-functional,Libahlow Nomadic Clinic,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Danyere,Danyere Community Health Unit,700910,Fully-functional,Danyere Health Centre,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Saka,Saka Community Health Unit,700909,Fully-functional,Saka Health Centre,42037,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Sankuri,Abdisamad Community Health Unit,700908,Fully-functional,Abdisamad Dispensary,42037,KMHFR via openAFRICA (2020 extract)
WAJIR,Eldas,Eldas,Della,Dela Community Health Unit,700907,semi-functional,Della Dispensary,42679,KMHFR via openAFRICA (2020 extract)
WAJIR,Eldas,Eldas,Della,Abdiwaqo Community Health Unit,700906,semi-functional,Abdiwaqo Dispensary,42653,KMHFR via openAFRICA (2020 extract)
WAJIR,Eldas,Eldas,Elnur/Tula Tula,El-nur Community Health Unit,700904,Fully-functional,Elnoor Dispensary,40452,KMHFR via openAFRICA (2020 extract)
WAJIR,Eldas,Eldas,Eldas,Eldas Community Health Unit,700903,Fully-functional,Eldas Health Centre,40452,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Voi,Voi,Kaloleni,Gimba Community Health Unit,700902,Fully-functional,Ndovu Health Centre,42475,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Voi,Voi,Kasigau,Makwasinyi Community Health Unit,700901,Fully-functional,Makwasinyi Dispensary,42391,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Modogashe,Jilango Community Health Unit,700785,Fully-functional,Jilango Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Modogashe,Eldere Community Health Unit,700784,Fully-functional,Eldere Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Modogashe,Barquqe Community Health Unit,700783,non-functinoal,Barquqe Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Maalamin,Ilan Community Health Unit,700782,Fully-functional,Ilan Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Goreale,Shantaabaq Community Health Unit,700781,Fully-functional,Shantaabaq Health Centre (Lagdera),42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Goreale,Goreale Community Health Unit,700780,Fully-functional,Shantaabaq Health Centre (Lagdera),42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Benane,Tokojo Community Health Unit,700779,Fully-functional,Benane Health Centre,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Benane,Benane B Community Health Unit,700778,Fully-functional,Benane Health Centre,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Baraki,Baraki Community Health Unit,700777,Fully-functional,Baraki Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Lagdera,Lagdera,Baraki,Afwein Community Health Unit,700776,Fully-functional,Afwein Dispensary,42005,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Galbet,Medina Two Community Health Unit,700775,Fully-functional,Medina Health Centre,42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Waberi,Garissa County Referral Community Health Unit,700774,Fully-functional,Garissa County Referral Hospital,42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Waberi,Alfaruq Community Health Unit,700773,Fully-functional,Al-Faruq Dispensary,42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Galbet,Utawala Community Health Unit,700772,Fully-functional,Utawala Dispensary,42065,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Township,Gk Prisons Community Health Unit,700771,Fully-functional,GK Prison Dispensary (Garissa),42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Township,Policeline Community Health Unit,700770,Fully-functional,Police Line Dispensary (Garissa),42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Waberi,Bulla Mzuri Community Health Unit,700769,Fully-functional,Bulla Mzuri Dispensary,42767,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Iftin,Iftin West Community Health Unit,700768,Fully-functional,Iftin Sub-District Hospital,42767,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Iftin,Iftin One Community Health Unit,700767,Fully-functional,Iftin Sub-District Hospital,42795,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Iftin,Ifin East Community Health Unit,700766,Fully-functional,Iftin Sub-District Hospital,42096,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Iftin,Bouargi Community Health Unit,700765,Fully-functional,Bour-Algy Dispensary,42675,KMHFR via openAFRICA (2020 extract)
GARISSA,Garissa,Garissa Township,Iftin,Korakora Community Health Unit,700763,Fully-functional,Korakora Health Centre,42340,KMHFR via openAFRICA (2020 extract)
TAITA TAVETA,Voi,Voi,Ngolia,Ghazi Community Health Unit,700740,Fully-functional,Ghazi Dispensary,42065,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba East,Sordo Namunyak Community Health Unit.,700738,Fully-functional,Wamba Health Centre,42681,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Waso,Lorubae Community Health Unit,700737,Fully-functional,Archers Post Health Centre,42702,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Heillu/Manyatta,Mansile Community Health Unit,700590,semi-functional,Mansile Dispensary,42038,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Sololo,Anona Community Health Unit,700589,semi-functional,Anona Dispensary,42044,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Obbu,Ambalo Community Health Unit,700588,semi-functional,Ambalo Dispensary,42038,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Uran,Walda Community Health Unit,700587,semi-functional,Walda Health Centre,42047,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Sololo,Sololo Makutano Community Health Unit,700586,semi-functional,Sololo Makutano Dispensary,42046,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Butiye,Butiye Community Health Unit,700585,Fully-functional,Butiye Dispensary,42041,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Yaballo Community Health Unit,700584,Fully-functional,Yaballo Dispensary,42040,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Kinisa Community Health Unit,700583,Fully-functional,Kinisa Dispensary,42039,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Butiye,Somare Community Health Unit,700582,Fully-functional,Somare Dispensary,42041,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Butiye,Bori Community Health Unit,700581,Fully-functional,Bori Dispensary,41676,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Uran,Uran Community Health Unit,700580,semi-functional,Uran Health Centre,42040,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Uran,Golole Community Health Unit,700579,semi-functional,Golole Dispensary,42038,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Sololo,Waye Godha Community Health Unit,700578,semi-functional,Waye Godha Dispensary,41671,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Obbu,Dambala Fachana Community Health Unit,700576,semi-functional,Dambalafachana Health Centre,41671,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Heillu/Manyatta,Heillu Community Health Unit,700575,semi-functional,Heillu Dispensary,41671,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Dabel Community Health Unit,700574,semi-functional,Dabel Health Centre,41671,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Odda Community Health Unit,700573,semi-functional,Odda Dispensary (Moyale),42040,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Nana Community Health Unit,700572,semi-functional,Nana Dispensary,41640,KMHFR via openAFRICA (2020 extract)
MARSABIT,Moyale,Moyale,Golbo,Godoma Community Health Unit,700571,semi-functional,Godoma Model Health Centre (Moyale),42340,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kalobeyei,Kalobeyei Settlement Community Health Unit,700491,semi-functional,Natukobenyo Health Centre,42675,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Mwanguda Community Health Unit,700463,Fully-functional,Mwanguda Dispensary,42466,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Hillside Community Health Unit,700462,Fully-functional,Mrima (Catholic) Dispensary,42555,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Pongwe/Kikokeni,Neema Community Health Unit,700461,Fully-functional,Vwivwini Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Mtumwa Community Health Unit,700460,Fully-functional,Mtumwa Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Pongwe/Kikokeni,Mzizima B Community Health Unit,700459,Fully-functional,Mzizima (CDF) Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Mrima Community Health Unit,700458,Fully-functional,Mrima (Catholic) Dispensary,42536,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Bidinimole Community Health Unit,700457,Fully-functional,Kilimangodo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Pongwe/Kikokeni,Mwangwei Community Health Unit,700456,Fully-functional,Mwangwei Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Imarika (Vanga B) Community Health Unit,700455,Fully-functional,Vanga Health Centre,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Mambani Community Health Unit,700454,Fully-functional,Kilimangodo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Dzombo,Gandini Community Health Unit,700453,Fully-functional,Mamba Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Vanga Community Health Unit,700452,Fully-functional,Vanga Health Centre,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Mwena Community Health Unit,700451,Fully-functional,Mwangulu Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Vanga,Shikamano Community Health Unit,700450,Fully-functional,Lungalunga Subcounty Hospital,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Wema Community Health Unit,700449,Fully-functional,Godo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Godo Community Health Unit,700448,Fully-functional,Godo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Pangani Community Health Unit,700447,Fully-functional,Godo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
KWALE,Lunga Lunga,Lunga Lunga,Mwereni,Makutano Community Health Unit,700446,Fully-functional,Godo Dispensary,42529,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Suguta Marmar,Longewan Community Health Unit,700352,Fully-functional,Longewan Dispensary,41913,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Lodokejek,Kirimun Community Health Unit,700351,Fully-functional,Kirimun GK Dispensary,41699,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Ndoto,Latakweny Community Health Unit,700345,Fully-functional,Latakweny Health Centre,42563,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Ndoto,Lesirikan Community Health Unit,700344,Fully-functional,Lesirikan Health Centre,41579,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Ndoto,Arsim Community Health Unit,700343,Fully-functional,Arsim Lutheran Health Center,42526,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Porro,Porro Community Health Unit,700342,Fully-functional,Porro Health Centre,42552,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Nachola,Nachola Community Health Unit,700341,Fully-functional,Nachola Health Centre,41557,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Nyiro,Tuum Community Health Unit,700340,Fully-functional,Tuum Dispensary,41579,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Nachola,Marti Community Health Unit,700339,Fully-functional,Marti Dispensary,42529,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,El-barta,Nalingangor Community Health Unit,700338,Fully-functional,Baragoi Sub-County Hospital,41565,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba West,Lodungokwe Community Health Unit,700336,Fully-functional,Lodungokwe Health Centre,42587,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Waso,Sereolipi Community Health Unit,700335,Fully-functional,Sereolipi Health Centre,42592,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba North,Lolkuniani Community Health Unit,700334,Fully-functional,Ngilai Dispensary,42587,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba North,Ngilai Community Health Unit,700333,Fully-functional,Ngilai Dispensary,42534,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba East,Lerata Community Health Unit,700332,Fully-functional,Lerrata Dispensary,42592,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Angata Nayokie,Angata Nanyukie Community Health Unit,700331,semi-functional,Angata Nanyokie Dispensary,42654,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu North,Samburu North,Angata Nayokie,Barsaloi Community Health Unit,700330,Fully-functional,Barsaloi GK Dispensary,41795,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Porro,Sirata Community Health Unit,700329,Fully-functional,Sirata Oirobi Dispensary,41407,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Suguta Marmar,Lolmolog Community Health Unit,700327,Fully-functional,Lolmolog Dispensary,42447,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Loosuk,Loosuk Community Health Unit,700326,Fully-functional,Loosuk Health Centre,42461,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Kawalathe Community Health Unit,700323,Fully-functional,Kaitese Dispensary,42282,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Kaapus Community Health Unit,700320,Fully-functional,Kaapus Dispensary,42114,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Kabulokor Community Health Unit,700319,Fully-functional,Kabulokor Dispensary,41487,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Kapoko Community Health Unit,700267,Fully-functional,Loruth Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Loperokok Community Health Unit,700266,Fully-functional,Napak Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Lotikile Community Health Unit,700265,Fully-functional,Napak Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Ngikarebok Community Health Unit,700264,Fully-functional,Kaikor Health Centre,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Tarach Community Health Unit,700263,non-functinoal,Lochorangierengo Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Letea,Lokipoto Community Health Unit,700262,non-functinoal,Lokipoto Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kanamkemer,Nawoitorong Community Health Unit,700258,Fully-functional,Kanawoi Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Lochoraikeny Community Health Unit,700257,Fully-functional,Lochoraikeny Dispensary,42370,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Eliye Community Health Unit,700256,Fully-functional,Eliye Springs Community Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Kangirisae Community Health Unit,700255,Fully-functional,Kangatosa Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Lorengelup Community Health Unit,700254,Fully-functional,Lorengelup Dispensary,41640,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Kangirisae Community Health Unit,700253,Fully-functional,Kangirisae Dispensary,42370,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Lomopus Community Health Unit,700252,Fully-functional,Kangagetei Dispensary,42370,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kang'atotha,Naoros Community Health Unit,700251,Fully-functional,Naoros Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Lodwar Township,Napetet Community Health Unit,700249,Fully-functional,St Catherine Napetet Dispensary,41731,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Nakechichok Community Health Unit,700248,Fully-functional,Nakechichok Dispensary,42370,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Kakimat Community Health Unit,700247,Fully-functional,Kosikiria Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kanamkemer,Kanamkemer Community Health Unit,700244,Fully-functional,St Patrick Kanamkemer Dispensary,40918,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kanamkemer,Lolupe Community Health Unit,700242,Fully-functional,Lolupe Dispensary (Turkana Central),40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Nadoto Community Health Unit,700241,Fully-functional,Nadoto Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Lodwar Township,Nakwamekwi Community Health Unit,700240,Fully-functional,St Monica Nakwamekwi Dispensary,40909,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Lodwar Township,Township Community Health Unit,700238,Fully-functional,Lodwar County Referral Hospital,41730,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Lodwar Township,Kawalase Community Health Unit,700237,Fully-functional,Lodwar County Referral Hospital,41183,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaeris,Mlimatatu Community Health Unit,700226,Fully-functional,Milima Tatu Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Narengewoi Community Health Unit,700225,non-functinoal,Narengewoi Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaeris,Nadunga Community Health Unit,700224,Fully-functional,Nadunga Dispensary,42013,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaeris,Lomi Dispensary Community Health Unit,700223,Fully-functional,Kaeris Dispensary,43074,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Kaaleng/Kaikor,Kakelae Community Health Unit,700222,Fully-functional,Kaaleng Health Centre,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lapur,Kachoda Community Health Unit,700221,Fully-functional,Kachoda Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lapur,Riokomor Community Health Unit,700220,Fully-functional,Lokitaung Sub County Hospital,43074,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Koksilei Community Health Unit,700219,non-functinoal,Kokiselei Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Nachukui Community Health Unit,700218,non-functinoal,Nachukui Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Lomekwi Community Health Unit,700217,non-functinoal,Lomekwi Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Lopur Community Health Unit,700216,Fully-functional,Oropoi Medicare Limited,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lopur,Namon Community Health Unit,700215,Fully-functional,Namon Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Nakalale,Losajait Community Health Unit,700214,Fully-functional,Makutano Health Centre (Turkana West),42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Nakalale,Lolupe Community Health Unit,700213,Fully-functional,Makutano Health Centre (Turkana West),42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Musug Community Health Unit,700212,Fully-functional,Kakuma Health Centre,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Nakoyo Community Health Unit,700211,Fully-functional,Kakuma Health Centre,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Nadapal Community Health Unit,700210,Fully-functional,Kakuma Health Centre,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Nakalale,Naduat Community Health Unit,700207,Fully-functional,Naduat Dispensary,41223,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Nachuro Community Health Unit,700206,semi-functional,Lomil Dispensary,42282,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Loya Community Health Unit,700205,semi-functional,Lokiriama Dispensary,42401,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Lodwat Community Health Unit,700204,semi-functional,Lokiriama Dispensary,42065,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Nakurio Community Health Unit,700203,Fully-functional,Lokiriama Dispensary,42248,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Loima,Puch Community Health Unit,700202,Fully-functional,Lokwatubwa (PAG) Dispensary,42282,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Loima,Lochoredome Community Health Unit,700201,Fully-functional,Namoruputh (PAG) Health Centre,42248,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Kangalita Community Health Unit,700200,Fully-functional,Kangalita Dispensary,42186,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Loima,Lochorekuyen Community Health Unit,700199,Fully-functional,Lochorekuyen Dispensary,41883,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Turkwel,Napeikar Community Health Unit,700198,Fully-functional,Napeikar Dispensary,42187,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Naipa Community Health Unit,700197,Fully-functional,Urum Dispensary,42125,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Kotaruk Community Health Unit,700196,Fully-functional,Urum Dispensary,42219,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Urum Community Health Unit,700195,semi-functional,Urum Dispensary,42389,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Lokipetot Arengan Community Health Unit,700194,semi-functional,Urum Dispensary,42282,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Lochor Alomala Community Health Unit,700193,Fully-functional,Lokiriama Dispensary,42248,KMHFR via openAFRICA (2020 extract)
TURKANA,Loima,Loima,Lokiriama/Lorengippi,Atala Komusio Community Health Unit,700192,Fully-functional,Lokiriama Dispensary,42248,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Kaawo Community Health Unit,700191,Fully-functional,Loruth Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Ilemkajokon Community Health Unit,700190,Fully-functional,Loruth Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Natumakaalei Community Health Unit,700189,Fully-functional,Napak Dispensary,42433,KMHFR via openAFRICA (2020 extract)
TURKANA,Kibish,Turkana North,Kibish,Lochilamuya Community Health Unit,700188,Fully-functional,Ekicheles Dispensary,42433,KMHFR via openAFRICA (2020 extract)
